text,intent
acuérdate de ponerme las gotas en una hora si puedes,recordatorio
cómo renovar la receta electrónica por favor gracias,abierta
no me molestes gracias quiero dormir,rechazo
qué novedades hay en política en Madrid!,abierta
llama a mi hija que vengan ya,alerta
hola por favor,social
no me apetece cariño estoy viendo la tele,rechazo
me encuentro mal cuando puedas,alerta
prefiero que no cariño estoy comiendo,rechazo
ahora no hijo quiero dormir,rechazo
que no se me olvide tomar las pastillas cada día a las 9 que suene fuerte,recordatorio
qué puedo hacer de cena.,abierta
avisa a la enfermera que vengan ya en el pasillo,alerta
anótame tomar las pastillas mañana por la mañana por favor,recordatorio
me siento solo,social
no puedo respirar bien ahora mismo en el baño,alerta
pon la SER cuando te venga bien,social
apúntame hacer la compra en una hora que suene fuerte,recordatorio
me siento solo si puedes,social
pon la radio ¿vale?,social
déjalo en la agenda ponerme las gotas mañana por la mañana por favor,recordatorio
no me molestes,rechazo
no me molestes hijo estoy comiendo,rechazo
cómo pedir cita con el médico paso a paso gracias,abierta
me dejas en paz gracias quiero dormir,rechazo
déjame descansar por favor me duele la cabeza,rechazo
recuérdame poner la insulina cuando acabe el telediario si puedes,recordatorio
no me apetece hijo,rechazo
qué tiempo hará mañana para torpes,abierta
cuéntame algo por favor por favor,social
me encuentro mal urgente en la cocina,alerta
llama a mi hija no me dejes sola en el baño,alerta
cómo pedir cita con el médico paso a paso!,abierta
no insistas gracias,rechazo
hoy no tengo ganas hijo,rechazo
cómo renovar la receta electrónica para torpes,abierta
ahora no por favor,rechazo
me caí urgente estoy en el salón,alerta
buenas tardes si puedes por favor,social
necesito ayuda en mi cuarto,alerta
me caí si es posible en el baño,alerta
no me molestes hija quiero dormir,rechazo
recuérdame hacer los ejercicios esta noche que no se me pase,recordatorio
cuéntame algo por favor,social
no me encuentro bien por favor en el pasillo,alerta
cómo renovar la receta electrónica en mi barrio gracias,abierta
me dejas en paz estoy viendo la tele,rechazo
llama al 112 ahora mismo en el pasillo,alerta
me siento solo por favor ¿vale?,social
llama al 112 urgente en el baño,alerta
recuérdame hacer los ejercicios mañana por la mañana que no se me pase,recordatorio
va a llover hoy gracias,abierta
hazme recordar hacer la compra esta noche que no se me pase,recordatorio
me ahogo si es posible en el pasillo,alerta
buenas tardes por favor gracias,social
déjalo en la agenda tomar las pastillas a las 10 por favor,recordatorio
cómo renovar la receta electrónica por favor,abierta
me ahogo por favor en el pasillo,alerta
acuérdate de poner la insulina cada día a las 9 si puedes,recordatorio
mejor más tarde hijo me duele la cabeza,rechazo
cómo se prepara un cocido por favor ¿vale?,abierta
¿charlamos un rato? si puedes,social
ahora no cariño me duele la cabeza,rechazo
me encuentro mal no me dejes sola en el pasillo,alerta
me dejas en paz cariño estoy comiendo,rechazo
mejor más tarde hija me duele la cabeza,rechazo
llama al médico estoy en el salón,alerta
estoy triste cuando te venga bien!,social
cómo pedir cita con el médico paso a paso,abierta
ponme las noticias en Madrid.,abierta
buenas noches cuando te venga bien.,social
anímame un poco si puedes,social
qué puedo hacer de cena paso a paso gracias,abierta
buenas tardes!,social
me encuentro mal por favor en el pasillo,alerta
no me molestes quiero dormir,rechazo
me siento solo,social
va a llover hoy para torpes,abierta
cómo pedir cita con el médico para torpes ¿vale?,abierta
tengo fiebre urgente en el baño,alerta
tengo fiebre si es posible,alerta
me encuentro mal por favor en mi cuarto,alerta
llama al médico si es posible en el pasillo,alerta
cómo hago una tortilla por favor,abierta
no me apetece,rechazo
hoy no tengo ganas gracias quiero dormir,rechazo
¿charlamos un rato?,social
cuéntame algo,social
mejor más tarde hijo quiero dormir,rechazo
avisa a la enfermera cuando puedas en la cocina,alerta
qué novedades hay en política por favor por favor,abierta
no me apetece gracias quiero dormir,rechazo
necesito ayuda que vengan ya en el pasillo,alerta
va a llover hoy en mi barrio!,abierta
explícame qué es la fibrilación auricular para torpes,abierta
recuérdame cambiar el parche a las 9 si puedes,recordatorio
qué tiempo hará mañana en Madrid,abierta
me he caído ahora mismo,alerta
prefiero que no hija quiero dormir,rechazo
recuérdame medirme la tensión a las 9 si puedes,recordatorio
pon la SER ¿vale?,social
acuérdate de hacer la compra cada día a las 9 si puedes,recordatorio
cómo renovar la receta electrónica por favor,abierta
ahora no estoy comiendo,rechazo
no necesito nada cariño,rechazo
no me encuentro bien,alerta
no me encuentro bien ahora mismo en mi cuarto,alerta
qué novedades hay en política en mi barrio,abierta
qué puedo hacer de cena para torpes,abierta
cómo pedir cita con el médico en mi barrio,abierta
¿charlamos un rato? cuando te venga bien ¿vale?,social
me encuentro mal no me dejes solo,alerta
buenas noches por favor,social
hazme recordar hacer la compra cuando acabe el telediario,recordatorio
cuéntame algo si puedes!,social
cómo hago una tortilla,abierta
avisa a la enfermera no me dejes sola en mi cuarto,alerta
prefiero que no,rechazo
ponme las noticias,abierta
necesito ayuda si es posible,alerta
ahora no por favor estoy comiendo,rechazo
pon la radio por favor,social
cuéntame algo,social
apúntame tomar las pastillas cada día a las 9,recordatorio
déjalo en la agenda hacer los ejercicios dentro de media hora,recordatorio
avísame de beber agua esta tarde que suene fuerte,recordatorio
ponme las noticias ¿vale?,abierta
cuéntame algo cuando te venga bien.,social
hola,social
buenos días por favor,social
no insistas gracias estoy viendo la tele,rechazo
avisa a la enfermera ahora mismo en la cocina,alerta
tengo fiebre no me dejes solo en mi cuarto,alerta
cómo se prepara un cocido por favor,abierta
ponme las noticias para torpes,abierta
qué novedades hay en política para torpes,abierta
ahora no cariño estoy comiendo,rechazo
déjame descansar cariño estoy viendo la tele,rechazo
pon la SER cuando te venga bien,social
no quiero hablar ahora cariño me duele la cabeza,rechazo
no quiero hablar ahora,rechazo
explícame qué es la fibrilación auricular,abierta
avísame de cambiar el parche en una hora que no se me pase,recordatorio
apúntame ponerme las gotas cada día a las 9 por favor,recordatorio
recuérdame tomar las pastillas dentro de media hora por favor,recordatorio
déjame descansar cariño,rechazo
me he caído por favor en la cocina,alerta
recuérdame tomar las pastillas esta tarde que no se me pase,recordatorio
recuérdame cambiar el parche a las 9 que suene fuerte,recordatorio
explícame qué es la fibrilación auricular por favor,abierta
pon la radio cuando te venga bien.,social
tengo fiebre no me dejes solo en el baño,alerta
buenos días por favor,social
buenos días.,social
me caí que vengan ya en mi cuarto,alerta
hoy no tengo ganas cariño,rechazo
prefiero que no hija estoy viendo la tele,rechazo
pon la radio por favor ¿vale?,social
avísame de tomar las pastillas esta tarde si puedes,recordatorio
¿charlamos un rato? si puedes!,social
pon una alarma para tomar las pastillas mañana por la mañana que suene fuerte,recordatorio
déjame descansar cariño estoy comiendo,rechazo
avísame de hacer la compra esta tarde que no se me pase,recordatorio
pon una alarma para tomar la medicación cuando acabe el telediario que suene fuerte,recordatorio
acuérdate de medirme la tensión dentro de media hora,recordatorio
no me molestes hijo quiero dormir,rechazo
pon música,social
no me molestes hijo,rechazo
me he caído no me dejes sola en el baño,alerta
recuérdame hacer la compra a las 9 que no se me pase,recordatorio
no me molestes por favor,rechazo
háblame un poco por favor gracias,social
avísame de cambiar el parche en una hora que suene fuerte,recordatorio
no quiero hablar ahora hija estoy viendo la tele,rechazo
me ahogo no me dejes solo en la cocina,alerta
pon una alarma para hacer la compra a las 9,recordatorio
déjalo en la agenda poner la insulina en una hora si puedes,recordatorio
¿charlamos un rato? cuando te venga bien.,social
llama al médico por favor en el pasillo,alerta
avísame de poner la insulina en una hora si puedes,recordatorio
anímame un poco ¿vale?,social
que no se me olvide ponerme las gotas esta tarde que no se me pase,recordatorio
no quiero hablar ahora hija,rechazo
cómo se prepara un cocido paso a paso,abierta
déjame descansar quiero dormir,rechazo
pon una alarma para medirme la tensión esta tarde si puedes,recordatorio
cómo pedir cita con el médico por favor,abierta
hoy no tengo ganas hija estoy viendo la tele,rechazo
me dejas en paz gracias estoy comiendo,rechazo
qué puedo hacer de cena paso a paso,abierta
me siento solo cuando te venga bien,social
déjalo en la agenda cambiar el parche cada día a las 9 si puedes,recordatorio
explícame qué es la fibrilación auricular en mi barrio,abierta
ponme flamenco por favor.,social
me siento sola,social
cuéntame algo si puedes,social
recuérdame llamar al médico esta tarde,recordatorio
buenos días.,social
tengo fiebre si es posible en el baño,alerta
déjalo en la agenda poner la insulina a las 10,recordatorio
me duele mucho en el pasillo,alerta
pon música cuando te venga bien,social
me sangra la nariz no me dejes solo en el pasillo,alerta
ponme un recordatorio para tomar las pastillas esta tarde si puedes,recordatorio
buenas noches por favor,social
buenos días por favor gracias,social
me encuentro mal por favor,alerta
qué tiempo hará mañana para torpes ¿vale?,abierta
me ahogo por favor,alerta
cómo hago una tortilla paso a paso ¿vale?,abierta
¿charlamos un rato? por favor,social
prefiero que no hijo quiero dormir,rechazo
avísame de cambiar el parche a las 10,recordatorio
ponme las noticias en mi barrio,abierta
qué tiempo hará mañana en Madrid por favor,abierta
buenas tardes cuando te venga bien!,social
ahora no quiero dormir,rechazo
ponme flamenco!,social
háblame un poco,social
llama al 112 no me dejes sola en mi cuarto,alerta
ponme flamenco por favor,social
hazme recordar tomar la medicación a las 9 que no se me pase,recordatorio
cómo renovar la receta electrónica paso a paso!,abierta
avísame de tomar la medicación a las 10 que no se me pase,recordatorio
no insistas hijo me duele la cabeza,rechazo
cómo pedir cita con el médico para torpes por favor,abierta
hoy no tengo ganas hija estoy comiendo,rechazo
no necesito nada gracias estoy viendo la tele,rechazo
llama a mi hija,alerta
me dejas en paz cariño me duele la cabeza,rechazo
no me molestes gracias me duele la cabeza,rechazo
me siento sola,social
me dejas en paz hija estoy comiendo,rechazo
no insistas hija estoy comiendo,rechazo
explícame qué es la fibrilación auricular para torpes ¿vale?,abierta
ponme un recordatorio para beber agua en una hora si puedes,recordatorio
cómo hago una tortilla por favor,abierta
avísame de medirme la tensión mañana por la mañana que no se me pase,recordatorio
hoy no tengo ganas hijo estoy comiendo,rechazo
hoy no tengo ganas quiero dormir,rechazo
buenos días por favor por favor,social
déjame descansar por favor estoy comiendo,rechazo
ponme las noticias en Madrid,abierta
no insistas hijo estoy comiendo,rechazo
anímame un poco si puedes!,social
buenos días,social
llama a mi hijo estoy en el salón,alerta
ponme un recordatorio para beber agua a las 8 por favor,recordatorio
ponme las noticias en Madrid!,abierta
cómo renovar la receta electrónica paso a paso,abierta
va a llover hoy en mi barrio,abierta
cómo pedir cita con el médico,abierta
no me encuentro bien por favor estoy en el salón,alerta
cómo hago una tortilla en mi barrio ¿vale?,abierta
cómo renovar la receta electrónica paso a paso,abierta
pon la SER por favor,social
prefiero que no por favor quiero dormir,rechazo
anótame beber agua a las 8 que no se me pase,recordatorio
buenas noches,social
pon la SER cuando te venga bien ¿vale?,social
me ahogo no me dejes solo estoy en el salón,alerta
me siento sola si puedes!,social
no necesito nada gracias,rechazo
déjame descansar por favor,rechazo
anótame medirme la tensión a las 8 por favor,recordatorio
háblame un poco si puedes,social
ponme las noticias en Madrid!,abierta
buenos días si puedes.,social
qué novedades hay en política por favor!,abierta
no me molestes hija,rechazo
no puedo respirar bien que vengan ya estoy en el salón,alerta
cómo hago una tortilla por favor ¿vale?,abierta
me duele mucho si es posible en mi cuarto,alerta
¿charlamos un rato? gracias,social
que no se me olvide cambiar el parche esta tarde,recordatorio
buenas noches por favor,social
ponme flamenco cuando te venga bien!,social
buenas tardes cuando te venga bien,social
llama a mi hija si es posible en el pasillo,alerta
no me molestes cariño quiero dormir,rechazo
no me molestes estoy comiendo,rechazo
pon la radio por favor,social
no me encuentro bien urgente en mi cuarto,alerta
necesito ayuda no me dejes solo estoy en el salón,alerta
qué novedades hay en política para torpes gracias,abierta
qué puedo hacer de cena por favor,abierta
tengo fiebre que vengan ya,alerta
buenas tardes si puedes,social
avísame de beber agua en una hora que suene fuerte,recordatorio
ponme las noticias para torpes gracias,abierta
me caí no me dejes sola en el pasillo,alerta
ponme un recordatorio para poner la insulina mañana por la mañana por favor,recordatorio
llama al 112 por favor en el pasillo,alerta
me he caído si es posible en mi cuarto,alerta
prefiero que no por favor me duele la cabeza,rechazo
qué tiempo hará mañana en mi barrio,abierta
buenas noches cuando te venga bien ¿vale?,social
hola cuando te venga bien ¿vale?,social
hazme recordar cambiar el parche a las 8 si puedes,recordatorio
tengo fiebre no me dejes sola estoy en el salón,alerta
déjame descansar hija estoy comiendo,rechazo
no necesito nada hija,rechazo
llama a mi hija no me dejes solo,alerta
anótame beber agua mañana por la mañana que no se me pase,recordatorio
no necesito nada hija quiero dormir,rechazo
pon la SER si puedes,social
apúntame hacer los ejercicios a las 8,recordatorio
cómo renovar la receta electrónica en Madrid,abierta
apúntame tomar la medicación en una hora por favor,recordatorio
no me molestes cariño estoy comiendo,rechazo
qué puedo hacer de cena,abierta
déjalo en la agenda tomar la medicación a las 9 que suene fuerte,recordatorio
buenas noches cuando te venga bien gracias,social
avisa a la enfermera en el baño,alerta
cómo se prepara un cocido en mi barrio por favor,abierta
llama a mi hijo cuando puedas en mi cuarto,alerta
hola si puedes,social
avísame de hacer los ejercicios dentro de media hora que no se me pase,recordatorio
buenas tardes si puedes,social
estoy triste ¿vale?,social
pon música por favor,social
acuérdate de hacer la compra a las 8 por favor,recordatorio
qué puedo hacer de cena en Madrid por favor,abierta
llama al 112 que vengan ya,alerta
ponme un recordatorio para tomar las pastillas dentro de media hora,recordatorio
no quiero hablar ahora hija estoy comiendo,rechazo
pon la radio,social
hazme recordar llamar al médico cuando acabe el telediario que suene fuerte,recordatorio
no me molestes hijo estoy viendo la tele,rechazo
mejor más tarde gracias quiero dormir,rechazo
hoy no tengo ganas por favor,rechazo
ponme las noticias paso a paso,abierta
buenos días si puedes,social
no me molestes hija estoy comiendo,rechazo
hoy no tengo ganas hija,rechazo
anótame tomar la medicación esta tarde por favor,recordatorio
no necesito nada hijo estoy comiendo,rechazo
que no se me olvide cambiar el parche mañana por la mañana,recordatorio
me encuentro mal cuando puedas estoy en el salón,alerta
anótame poner la insulina en una hora,recordatorio
llama a mi hija en el baño,alerta
qué novedades hay en política para torpes por favor,abierta
déjame descansar hijo,rechazo
no quiero hablar ahora hijo estoy comiendo,rechazo
pon la radio si puedes!,social
cómo se prepara un cocido en Madrid,abierta
no quiero hablar ahora gracias me duele la cabeza,rechazo
no necesito nada hijo,rechazo
no quiero hablar ahora quiero dormir,rechazo
no me molestes me duele la cabeza,rechazo
pon una alarma para hacer los ejercicios esta tarde que no se me pase,recordatorio
pon una alarma para poner la insulina cuando acabe el telediario por favor,recordatorio
cómo renovar la receta electrónica paso a paso gracias,abierta
cómo se prepara un cocido para torpes!,abierta
va a llover hoy por favor,abierta
llama al 112 que vengan ya en el pasillo,alerta
me siento sola por favor,social
ponme las noticias en Madrid gracias,abierta
llama al médico si es posible estoy en el salón,alerta
ahora no cariño estoy viendo la tele,rechazo
cómo se prepara un cocido en mi barrio,abierta
me duele mucho en el baño,alerta
ponme un recordatorio para cambiar el parche mañana por la mañana si puedes,recordatorio
necesito ayuda cuando puedas en la cocina,alerta
