"fecha_hora","usuario","perfil_usuario","texto_inicial_escrito","intent","score","emotion","decision","texto_base","texto_natural","fuente","llm","nivel_dependencia"
"2025-11-12 20:55:26","Juan","Dependiente","Me gustan las patatas.","recordatorio","0.782","others","plantilla","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","plantilla","","Dependiente"
"2025-11-12 21:03:28","Juan","Dependiente","y es mi cumpleaños","alerta","0.888","joy","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:09:00","Juan","Dependiente","y es mi cumpleaños","alerta","0.888","joy","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:10:32","Juan","Dependiente","Hola, hoy voy a ir a dar un paseo con mis vecinos.","social","0.3","others","llm","Paciente: Juan
Dependencia: Dependiente
Intención: social (score=0.30)
Emoción: neutral
Entidades: {}
Entrada: Hola, hoy voy a ir a dar un paseo con mis vecinos.

Responde en español, 1–2 frases, claro, amable y seguro para persona mayor.","¡Hola, Juan! Me alegra saber que vas a dar un paseo con tus vecinos. Disfruta de la compañía y del aire fresco.","plantilla","","Dependiente"
"2025-11-12 21:12:27","Juan","Dependiente","es el cumpleaños de mi nieta","alerta","0.786","joy","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:13:09","Juan","Dependiente","Este se ha muerto mi vecino.","alerta","0.865","others","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:14:05","Juan","Dependiente","Este se ha muerto mi vecino.","alerta","0.865","others","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:16:41","Juan","Dependiente","Esto se ha muerto mi vecino.","alerta","0.888","others","plantilla","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","Te he entendido, Juan. ¿Quieres que lo anote o que te recuerde algo concreto?","plantilla","","Dependiente"
"2025-11-12 21:17:41","Juan","Dependiente","Me gusta randillo","recordatorio","0.502","joy","plantilla","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","plantilla","","Dependiente"
"2025-11-12 21:18:51","Juan","Dependiente","y gusta hacer gancillo","recordatorio","0.602","others","plantilla","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","Juan, he apuntado el recordatorio. Te avisaré a la hora indicada.","plantilla","","Dependiente"
